2020-03-30 16:25:01.204 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Scanning URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/ClassOrApiAnnotationResourceGrouping$2.class]
2020-03-30 16:25:01.205 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not matching any filter: URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/ClassOrApiAnnotationResourceGrouping$2.class]
2020-03-30 16:25:01.205 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Scanning URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/UiConfigurationBuilder.class]
2020-03-30 16:25:01.205 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not matching any filter: URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/UiConfigurationBuilder.class]
2020-03-30 16:25:01.205 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Scanning URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/ClassOrApiAnnotationResourceGrouping$4.class]
2020-03-30 16:25:01.206 TRACE 12372 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not matching any filter: URL [jar:file:/C:/Users/nielsh/.m2/repository/io/springfox/springfox-swagger-common/2.9.2/springfox-swagger-common-2.9.2.jar!/springfox/documentation/swagger/web/ClassOrApiAnnotationResourceGrouping$4.class]
2020-03-30 16:25:01.326 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'configurationProperties'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'servletConfigInitParams'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'servletContextInitParams'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'systemProperties'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'systemEnvironment'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'random'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Searching for key 'spring.boot.enableautoconfiguration' in PropertySource 'applicationConfig: [file:./application.properties]'
2020-03-30 16:25:01.327 TRACE 12372 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Could not find key 'spring.boot.enableautoconfiguration' in any property source
2020-03-30 16:25:01.329 TRACE 12372 --- [main] o.s.c.io.support.SpringFactoriesLoader   : Loaded [org.springframework.boot.autoconfigure.AutoConfigurationImportFilter] names: [org.springframework.boot.autoconfigure.condition.OnBeanCondition, org.springframework.boot.autoconfigure.condition.OnClassCondition, org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition]
2020-03-30 16:25:01.332 TRACE 12372 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Returning cached instance of singleton bean 'autoConfigurationReport'
2020-03-30 16:25:01.379 TRACE 12372 --- [main] o.s.b.a.condition.OnClassCondition       : Condition OnClassCondition on org.springframework.boot.autoconfigure.amqp.RabbitAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.rabbitmq.client.Channel'
